Taille des tableaux;Temps total (secondes);Total temps descendant (secondes);Total temps aléatoire (secondes)
random;2.9000433999999817;2.889695199999986;0.0103481999999957
150;0.4055053000001152;0.3956659000000542;0.009839400000061005
random;8.943140600000026;8.904885700000014;0.038254900000012526
random;16.151613400000244;16.038379200000136;0.11323420000010742
